trace,sets,ways,block_bytes,capacity_bytes,write_alloc,write_policy,eviction,total_loads,total_stores,load_hits,load_misses,store_hits,store_misses,total_accesses,load_miss_rate,store_miss_rate,overall_miss_rate,total_cycles,cycles_per_access
traces/gcc.trace,8,16,32,4096,write-allocate,write-through,fifo,318197,197486,311456,6741,191669,5817,515683,0.021184989173373726,0.029455252524229567,0.024352169840774273,30310683,58.77774330354113
traces/gcc.trace,8,16,32,4096,write-allocate,write-through,lru,318197,197486,313591,4606,192119,5367,515683,0.014475309320955258,0.02717660998754342,0.01933940036805557,28242683,54.767527725366165
traces/gcc.trace,64,1,64,4096,no-write-allocate,write-through,fifo,318197,197486,296499,21698,163816,33670,515683,0.06819046062659297,0.17049309824493888,0.10736828633094363,54981083,106.6179862434868
traces/gcc.trace,64,1,64,4096,no-write-allocate,write-through,lru,318197,197486,296499,21698,163816,33670,515683,0.06819046062659297,0.17049309824493888,0.10736828633094363,54981083,106.6179862434868
traces/gcc.trace,64,1,64,4096,write-allocate,write-back,fifo,318197,197486,297445,20752,191437,6049,515683,0.06521745962406937,0.03063001934314331,0.051971850923920315,61326883,118.92360810808191
traces/gcc.trace,64,1,64,4096,write-allocate,write-back,lru,318197,197486,297445,20752,191437,6049,515683,0.06521745962406937,0.03063001934314331,0.051971850923920315,61326883,118.92360810808191
traces/gcc.trace,64,1,64,4096,write-allocate,write-through,fifo,318197,197486,297445,20752,191437,6049,515683,0.06521745962406937,0.03063001934314331,0.051971850923920315,63145883,122.45096890919422
traces/gcc.trace,64,1,64,4096,write-allocate,write-through,lru,318197,197486,297445,20752,191437,6049,515683,0.06521745962406937,0.03063001934314331,0.051971850923920315,63145883,122.45096890919422
traces/gcc.trace,32,2,64,4096,no-write-allocate,write-through,fifo,318197,197486,302937,15260,166260,31226,515683,0.04795771173204021,0.15811753744569235,0.09014452677323084,44680283,86.64292404442264
traces/gcc.trace,32,2,64,4096,no-write-allocate,write-through,lru,318197,197486,304828,13369,168991,28495,515683,0.042014852434183854,0.14428870907304822,0.08118165617249357,41654683,80.77575370915854
traces/gcc.trace,32,2,64,4096,write-allocate,write-back,fifo,318197,197486,304001,14196,192975,4511,515683,0.044613871280998876,0.02284212551775822,0.036276161905666855,43176483,83.72679145909406
traces/gcc.trace,32,2,64,4096,write-allocate,write-back,lru,318197,197486,305915,12282,193224,4262,515683,0.038598729717753466,0.021581276647458555,0.03208172462539971,38222883,74.1208901592645
traces/gcc.trace,32,2,64,4096,write-allocate,write-through,fifo,318197,197486,304001,14196,192975,4511,515683,0.044613871280998876,0.02284212551775822,0.036276161905666855,50195483,97.33786647998868
traces/gcc.trace,32,2,64,4096,write-allocate,write-through,lru,318197,197486,305915,12282,193224,4262,515683,0.038598729717753466,0.021581276647458555,0.03208172462539971,46734683,90.62676683156126
traces/gcc.trace,16,4,64,4096,no-write-allocate,write-through,fifo,318197,197486,304315,13882,167180,30306,515683,0.043627061223078786,0.15345897937068956,0.08568830075841166,42475483,82.36742921523494
traces/gcc.trace,16,4,64,4096,no-write-allocate,write-through,lru,318197,197486,307288,10909,168782,28704,515683,0.03428379274474618,0.1453470119400869,0.07681657142081473,37718683,73.14315771510792
traces/gcc.trace,16,4,64,4096,write-allocate,write-back,fifo,318197,197486,305164,13033,193342,4144,515683,0.04095890281806554,0.02098376593783863,0.03330922291407706,39552483,76.69921831823038
traces/gcc.trace,16,4,64,4096,write-allocate,write-back,lru,318197,197486,308102,10095,193824,3662,515683,0.031725629091411925,0.018543086598543694,0.026677241638758696,32099683,62.24692883030854
traces/gcc.trace,16,4,64,4096,write-allocate,write-through,fifo,318197,197486,305164,13033,193342,4144,515683,0.04095890281806554,0.02098376593783863,0.03330922291407706,47747483,92.590764093445
traces/gcc.trace,16,4,64,4096,write-allocate,write-through,lru,318197,197486,308102,10095,193824,3662,515683,0.031725629091411925,0.018543086598543694,0.026677241638758696,42275483,81.97959405293562
